0.054078,0.054078,0.054078
0.045554,0.045554,0.045554
0.041580,0.041580,0.041580
0.053419,0.053419,0.053419
0.057671,0.057671,0.057671
0.050482,0.050482,0.050482
0.057795,0.057795,0.057795
0.057549,0.057549,0.057549
0.046646,0.046646,0.046646
0.059866,0.059866,0.059866
0.048715,0.048715,0.048715
0.064916,0.064916,0.064916
0.063657,0.063657,0.063657
0.064398,0.064398,0.064398
0.063777,0.063777,0.063777
0.071519,0.071519,0.071519
0.065365,0.065365,0.065365
0.067154,0.067154,0.067154
0.081143,0.081143,0.081143
0.086452,0.086452,0.086452
0.081558,0.081558,0.081558
0.059992,0.059992,0.059992
0.064957,0.064957,0.064957
0.075377,0.075377,0.075377
0.084646,0.084646,0.084646
0.076069,0.076069,0.076069
0.077949,0.077949,0.077949
0.078823,0.078823,0.078823
0.078866,0.078866,0.078866
0.073788,0.073788,0.073788
0.088036,0.088036,0.088036
0.081268,0.081268,0.081268
0.074505,0.074505,0.074505
0.082881,0.082881,0.082881
0.083924,0.083924,0.083924
0.089473,0.089473,0.089473
0.092719,0.092719,0.092719
0.082805,0.082805,0.082805
0.084317,0.084317,0.084317
0.076420,0.076420,0.076420
0.075709,0.075709,0.075709
0.088602,0.088602,0.088602
0.078468,0.078468,0.078468
0.076695,0.076695,0.076695
0.084322,0.084322,0.084322
0.078301,0.078301,0.078301
0.071983,0.071983,0.071983
0.083507,0.083507,0.083507
0.078446,0.078446,0.078446
0.080948,0.080948,0.080948
0.072884,0.072884,0.072884
0.077191,0.077191,0.077191
0.092757,0.092757,0.092757
0.081955,0.081955,0.081955
0.073694,0.073694,0.073694
0.086701,0.086701,0.086701
0.088321,0.088321,0.088321
0.100574,0.100574,0.100574
0.084927,0.084927,0.084927
0.102792,0.102792,0.102792
0.091675,0.091675,0.091675
0.074765,0.074765,0.074765
0.078092,0.078092,0.078092
0.087069,0.087069,0.087069
0.097414,0.097414,0.097414
0.106155,0.106155,0.106155
0.095481,0.095481,0.095481
0.094436,0.094436,0.094436
0.088758,0.088758,0.088758
0.098195,0.098195,0.098195
0.079302,0.079302,0.079302
0.087627,0.087627,0.087627
0.091275,0.091275,0.091275
0.086082,0.086082,0.086082
0.091009,0.091009,0.091009
0.085539,0.085539,0.085539
0.087431,0.087431,0.087431
0.103376,0.103376,0.103376
0.098404,0.098404,0.098404
0.109961,0.109961,0.109961
0.113092,0.113092,0.113092
0.115665,0.115665,0.115665
0.121614,0.121614,0.121614
0.103033,0.103033,0.103033
0.107620,0.107620,0.107620
0.112499,0.112499,0.112499
0.098115,0.098115,0.098115
0.099562,0.099562,0.099562
0.088557,0.088557,0.088557
0.095761,0.095761,0.095761
0.105446,0.105446,0.105446
0.120204,0.120204,0.120204
0.114845,0.114845,0.114845
0.111975,0.111975,0.111975
0.113529,0.113529,0.113529
0.098163,0.098163,0.098163
0.105612,0.105612,0.105612
0.104726,0.104726,0.104726
0.103048,0.103048,0.103048
0.108152,0.108152,0.108152
0.110097,0.110097,0.110097
0.110744,0.110744,0.110744
0.117173,0.117173,0.117173
0.127026,0.127026,0.127026
0.119435,0.119435,0.119435
0.131148,0.131148,0.131148
0.109118,0.109118,0.109118
0.130571,0.130571,0.130571
0.113693,0.113693,0.113693
0.122786,0.122786,0.122786
0.130165,0.130165,0.130165
0.126351,0.126351,0.126351
0.113693,0.113693,0.113693
0.118289,0.118289,0.118289
