Shutter_Speed,Max_Pixel_Luminance,ZIP_File,Light_Source_Pattern,Reference_Pattern,Luminance at 0.062,Luminance at 0.059,Luminance at 0.056,Luminance at 0.052,Luminance at 0.043,Luminance at 0.097,Luminance at 0.063,Luminance at 0.001,Luminance at 0.2,Luminance at 0.1,Luminance at 2.0,Luminance at 0.37,Luminance at 0.626,Luminance at 0.7,Luminance at 0.149,Luminance at 0.129,Luminance at 0.106,Luminance at 0.095,Luminance at 0.376,Luminance at 0.433,Luminance at 0.529,Luminance at 0.515,Adjusted_Alpha,Luminance at 0.504
0.00025,0.8019505882352941,basil_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,6.402349585068133,
0.0002,0.7543145098039216,basil_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,6.402349585068133,
0.00015625,0.6882298039215686,basil_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,6.402349585068133,
0.000125,0.6154235294117648,basil_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,6.402349585068133,
0.00625,0.8249811764705882,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.005,0.7199639215686274,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.004,0.6756250980392158,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.003125,0.5756682352941177,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0025,0.5179552941176471,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.002,0.4465192156862744,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0015625,0.401687843137255,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.00125,0.3700054901960784,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.001,0.3179192156862744,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0008,0.2711231372549019,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.000625,0.2196345098039215,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0005,0.1846125490196078,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0004,0.1669756862745098,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0003125,0.1504243137254902,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.00025,0.1201843137254902,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.0002,0.1030933333333333,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.00015625,0.0893623529411764,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.000125,0.0677992156862745,basil_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.24213915026684366,
0.002,0.7104862745098038,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.0015625,0.5766039215686274,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.00125,0.5586086274509804,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.001,0.4362674509803921,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.0008,0.3779443137254902,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.000625,0.3255701960784314,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.0005,0.2978454901960784,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.0004,0.27484,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.0003125,0.2160431372549019,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.00025,0.1770949019607842,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.0002,0.1476572549019607,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
